Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Kenai Birch,Betula papyrifera var. kenaica,Betulaceae,No,No,Rarely,A hardy variety of paper birch from Alaska.,"White bark and small, rounded leaves.",Looks like a snow-colored tree with baby leaves!,"Shorter than typical paper birch, smooth white bark, and rounded leaves.",Paper Birch (*Betula papyrifera*),"Smaller tree with denser, darker bark",Catkins in spring; seeds ripen in summer,Yellow fall foliage; catkins in spring.,Deciduous,Simple,Alternate,Oval,1.5–3 inches,"Serrated, dull green, dark bark",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender reddish catkins,Tiny winged nutlets,Small upright catkins,Branch tips,Wind,Neutral,"Reddish, smooth","Bright white, peeling",Dark bark and fine twigs,Slender and upright,Rounded crown,Alternate,20–50 feet,Moderate,Cold forest edges and clearings,Alaska and western Canada,Low to mid elevations,"Cold-hardy, short season",Non-toxic
Knobcone Pine,Pinus attenuata,Pine,Yes,Yes,Likely,Known as a 'fire pine' due to serotinous cones that remain sealed for many years. Seeds release after fire.,"Cones embedded along the trunk or branches for years, often in clusters, creating 'knobs'.",Look for pine cones stuck to the branches or trunk like big bumps!,"Serotinous cones that can remain closed for decades, short to medium needles in fascicles of 3.","Bishop Pine (Pinus muricata), but knobcone cones are more fused and trunk-bound.","Bishop Pine cones are smaller and knobbier. Monterey Pine cones are bigger, asymmetrical, and remain on branches for years.",Cones form and stay sealed until fire or intense heat; evergreen needles year-round.,"Minimal color change, older needles shed occasionally.",Evergreen needles,N/A,Fascicles of 3,"~4–6 inches, slender",4–6 inches,"Green to yellow-green, slightly twisted",Evergreen,3 per bundle,4–6 inches,"Moderately stiff, sometimes twisted",Male cones in small clusters; female cones large and woody,"Serotinous cones, 3–6 inches, often curved, fused to branches","3–6 inches, conical, can fuse in clusters",Attached tightly to trunk/branches (knobs),"Triggered by fire/heat, then wind disperses seeds",Resinous pine smell,"Grayish-brown, relatively thin","Scaly plates, can appear rough; cones protrude like knobs","Evergreen, clusters of closed cones on trunk","Conical, somewhat spindly","Often irregular, open crown, can look scraggly","Slightly ascending branches, can be sparse",20–70 feet,Moderate,"Serpentine soils, dry slopes, chaparral edges","Coast Range, Siskiyou, occasionally in Sierra foothills","Sea level to ~5,000 feet","Mediterranean climate with dry summers, often in poor rocky soils",Mostly non-toxic; resin can irritate if ingested.
Lebanon Cedar,Cedrus libani,Pinaceae,Yes,No,Yes,National tree of Lebanon; symbol of strength and longevity.,Flat-topped crown and dark green needles in tufts.,Its branches stretch out like superhero arms!,"Clusters of short needles, broad shape, barrel cones.",Deodar Cedar (*Cedrus deodara*),Less drooping and shorter needles,Pollen in spring; cones mature over two years,New needles in spring; cones develop slowly.,Evergreen,Simple,Spiral,Needle-like,1–2 inches,"Dark green, stiff, flat needles",None,Clusters on short shoots,0.75–1.25 inches,"Dark green, stiff, slightly curved",Small yellow cones,Barrel-shaped cones,"3–5 inches, barrel-shaped",Upright on branches,Wind,"Woody, slightly sweet",Gray and smooth,Furrowed and gray-brown,"Broad, upright form, large cones",Conical,"Flat-topped, wide spreading","Horizontal, layered",40–80 feet,Slow to moderate,Parks and cultivated landscapes,Eastern Mediterranean; widely planted,"3,000–6,000 feet (native); low to mid in cultivation","Dry summers, mild winters",Non-toxic
Manchurian Birch,Betula platyphylla var. mandshurica,Betulaceae,No,No,Rarely,Cold-hardy birch native to East Asia; used in restoration and ornamentally.,White bark and triangular leaves with long points.,Its bark looks like frosting!,"White bark, coarse-toothed leaves, upright form.",Gray Birch (*Betula populifolia*),More rounded leaf base and darker bark,Catkins in spring; seeds ripen in summer,Yellow fall leaves; catkins in spring.,Deciduous,Simple,Alternate,Triangular,1–2.5 inches,"Serrated, pale beneath",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small catkins,Small winged nutlets,Slender catkins with small seeds,At twig tips,Wind,Faintly earthy,Reddish or brown,Smooth and white,"Dark bark, triangular buds",Narrow upright,Rounded crown,Alternate,30–60 feet,Moderate,"Forests, edges, slopes","China, Korea, Siberia","1,000–5,000 feet","Cold-hardy, moist soils",Non-toxic
Monterey Cypress,Cupressus macrocarpa,Cypress,Yes,Yes,Likely,"Iconic along the Monterey coast, prized ornamental","Twisted trunks, bright green scale foliage, picturesque coastal silhouettes","Looks like a giant bonsai by the ocean, with thick green foliage","Salt-tolerant, dense scale foliage, trunk sculpted by coastal winds","Other cypresses, but this is distinct to coastal CA","Horse Chestnut has spiky seed husks. California Buckeye husks are smooth, and the tree often goes dormant in summer.",Evergreen; cones persist on branches for years,Minimal color change,"Evergreen, scale-like",N/A,Opposite scales in tight clusters,"Scale-like, small overlapping segments",~1/8 inch scales,"Bright green, dense, resinous",Evergreen,Scale foliage,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant","Small, inconspicuous male cones; green female cones","Woody, spherical cones (about 1 inch) with thick scales","~1 inch diameter, round",Clustered along branches,Wind,"Resinous, slightly lemony","Smooth, grayish-brown","Deeply furrowed, trunk may twist","Evergreen foliage, woody cones visible",Conical or columnar,"Broad, irregular crown, often wind-sculpted","Dense branching, somewhat random","40–70 feet near coast, taller inland",Fast in suitable conditions,"Coastal bluffs, rocky shores, sandy soils",Native to Monterey Peninsula; planted widely in coastal areas,Sea level to low elevations,"Cool, foggy coastal climates, but adaptable",Seeds are toxic if not properly leached. Can also affect honey bees negatively.
Monterey Pine,Pinus radiata,Pine,Yes,Yes,Likely,Widely planted worldwide for timber; native stands limited to small areas on California coast.,"Bright green needles in bundles of 3, large asymmetrical cones that may persist on branches.",Look for a pine with bright green needles and big knobby cones near the coast.,"3 needles per fascicle, cones can stay closed for a while, thick bark. It's the pine widely grown in plantations globally.","Bishop Pine or Knobcone Pine, but Monterey Pine typically has bigger, more rounded cones.",Southern CA Walnut tends to be smaller with multiple trunks. Northern CA Walnut usually has a taller single trunk and bigger nuts.,"Evergreen; pollination in winter/spring; cones mature over 2+ years, often remain on tree.","Minimal needle color shift, older needles drop gradually.",Evergreen needles,N/A,Fascicles of 3 (occasionally 2–3),"~4–6 inches, slender",4–6 inches,"Bright to dark green, slightly twisted",Evergreen,Fascicles of 3,4–6 inches,"Moderately stiff, green","Male cones small, clustered; female cones woody","Cones 3–6 inches, asymmetric, thick scales, can remain closed for years.","3–6 inches, often lopsided or elliptical","Clustered on branches, sometimes trunk","Wind, often triggered by heat or dryness",Typical pine resin scent,"Dark gray-brown, developing ridges","Deeply furrowed, thick bark plates, often with a mosaic of dark brown and gray","Evergreen needles, persistent cones","Conical, quickly developing thick branches","Broad, rounded crown, often wind-sculpted near coast","Irregular, somewhat dense",40–100 feet (can be taller in plantations),Fast,"Coastal areas, sandy or rocky soils","Native stands near Monterey Bay, Cambria, and north of Santa Cruz","Sea level to ~1,000 feet near coast","Cool, foggy coastal climate, but adaptable in plantations","Husks and leaves contain juglone, which can irritate skin and inhibit other plants’ growth. Nuts are edible after husk removal."
Mountain Maple,Acer spicatum,Sapindaceae,No,No,Rarely,Shrubby maple native to eastern forests and mountains.,Three-lobed soft leaves and red twig tips.,It looks like a mini maple with fuzzy red fingers!,"Fuzzy leaves and twigs, reddish fall color, shrubby form.",Vine Maple (*Acer circinatum*),Smaller tree with more finely toothed leaves,Flowers in spring; samaras ripen in summer,Bright red or orange fall foliage.,Deciduous,Simple,Opposite,3-lobed,2–4 inches,"Toothed, slightly fuzzy",Yellow to red,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Greenish flowers in upright clusters,Small paired winged samaras,Small paired samaras,Hanging in clusters,Wind,Neutral to sweet,Smooth and light brown,Becomes scaly,Red twigs and opposite buds,Shrubby and upright,"Rounded, small tree",Opposite,10–25 feet,Slow to moderate,"Cool forests, ravines",Northeastern U.S. and Canada,"2,000–5,000 feet","Cool, moist, shaded",Non-toxic
Murray's Birch,Betula murrayana,Betulaceae,No,No,Rarely,"Rare birch species of the northeastern U.S., potentially a hybrid.","White bark and narrow, finely toothed leaves.",Looks like a paper birch with skinny leaves!,"White bark, slender leaves, upright form.",Gray Birch (*Betula populifolia*),Smaller size and more reddish twigs,Catkins in spring; seeds ripen in summer,Yellow fall foliage; spring catkins.,Deciduous,Simple,Alternate,Oval with pointed tip,2–4 inches,"Serrated, rough above, hairy veins",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender catkins,Tiny winged nutlets,Small upright catkins,At twig tips,Wind,Neutral,"Smooth, brownish-white",Peeling white with lenticels,Reddish bark and small twigs,Slender and upright,Oval or rounded crown,Alternate,30–50 feet,Moderate,Moist woods and hillsides,Northeastern U.S.,Low to mid elevations,"Cool, moist climate",Non-toxic
New Mexico Locust,Robinia neomexicana,Fabaceae,Yes,Yes,Rarely,Native desert shrub/tree with beautiful flowers; supports pollinators.,Bright pink flowers and bristly pods.,It’s the desert tree with fuzzy pink flowers!,"Compound leaves, pink pea flowers, bristly seedpods.",Bristly Locust (*Robinia hispida*),Hairier stems and pinker flowers,Flowers in late spring; pods in summer,Blooms in spring; pods in summer.,Deciduous,Compound,Alternate,Pinnate with oval leaflets,6–12 inches,"Hairy stems, bright green leaflets",Golden yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Pink pea-like clusters,Short brown seed pods,"Flat pods 2–4 inches, bristly",Hanging from stems,Gravity,Floral scent,Smooth and brown,"Thin, slightly furrowed",Hairy stems and persistent pods,"Shrubby, upright",Rounded small tree,Irregular,10–25 feet,Moderate,"Canyons, foothills, deserts",Southwestern U.S. and eastern California,"4,000–8,000 feet","Dry, high-desert climates",Toxic to livestock
Nikko Fir,Abies homolepis,Pinaceae,Yes,No,Rarely,Ornamental Japanese fir with elegant form and needles.,Glossy flat needles with two white stripes underneath.,Needles have racing stripes like little green sneakers!,"Symmetrical shape, white-striped needles, upright cones.",Fraser Fir (*Abies fraseri*),Less resinous and smoother bark,Pollen in spring; cones mature by fall,New growth in spring; cones ripen late summer.,Evergreen,Simple,Spiral,Needle-like,0.5–1.25 inches,"Soft, green needles with white lines",None,"Two-ranked, flat sprays",1–1.5 inches,"Dark green above, silvery-white below",Small upright cones,Small cylindrical cones,"2.5–4 inches, upright",Top of branches,Wind,Light resin scent,Smooth and gray,Scaly and gray-brown,Soft needles and upright cones,Narrow pyramid,"Tall, conical",Horizontal and regular,60–100 feet,Moderate,Cultivated parks and gardens,Japan; cultivated in temperate zones,"3,000–6,000 feet (native); low to mid in cultivation","Cool, moist, sheltered",Non-toxic
Noble Fir,Abies procera,Pinaceae,Yes,Yes,Yes,Popular Christmas tree with strong branches and blue-green needles.,Blue-green needles curving upward like ski jumps.,Its needles curl up like little sleds!,"Stiff, blue-green needles and upright barrel cones.",California Red Fir (*Abies magnifica*),Upright cones with thick scales and bluish tint,Pollen in spring; cones mature by fall,New growth in spring; cones ripen in fall.,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,"Curved needles, bluish-green",None,Curved upward on branches,1–1.5 inches,"Blue-green, grooved above, white-striped below",Small reddish cones,Upright cones 3–6 inches,"4–6 inches, barrel-shaped","Top branches, upright",Wind,Resinous,Smooth and gray,Reddish-brown and furrowed,Blue-green needles and upright cones,Conical,"Tall, narrow crown","Whorled, upswept",100–200 feet,Moderate,Mountain slopes,"Pacific Northwest, Northern California","3,000–6,500 feet","Cool, moist mountain climate",Non-toxic
Northern California Walnut,Juglans hindsii,Walnut,Yes,Yes,Unlikely,Native walnut used as rootstock for commercial walnuts; historically food source for indigenous peoples.,"Pinnately compound leaves up to a foot long, thick husked walnuts, grayish trunk with ridged bark.",Look for big compound leaves and green walnut husks in late summer/fall!,"Single-trunk tree with coarse ridged bark, large pinnate leaves, edible nuts.",Southern California Walnut (Juglans californica) typically smaller.,"Mountain Hemlock has thicker, more clustered needles and grows at higher elevations. Western Hemlock has a noticeably drooping top.","Leaves out in spring; catkins and pollination in spring; walnuts form in summer, mature in fall.",Deciduous; leaves turn yellowish or brownish in fall.,Deciduous broadleaf,Pinnately compound (11–19 leaflets),Alternate,"Leaflets lanceolate, 2–5 inches each",Whole leaf 8–14 inches,"Slightly serrated or entire margins, shiny green above",Yellowish-brown,N/A,N/A,N/A,"Male catkins drooping, female flowers in small clusters","Round green husks (1–2 inches), containing hard walnut shell",N/A,N/A,"Gravity, water, caching by squirrels",Leaves can have a pungent 'walnut' odor if crushed,"Grayish, relatively smooth","Thick, deeply furrowed or ridged, dark gray-brown","Bare branches, stout twigs, chambered pith if twig is cut","Upright, open crown","Large, rounded canopy","Spreading branches, can be fairly open",30–60 feet,Moderate to fast with good moisture,"Riparian zones, stream banks, bottomlands","Central Valley, Northern CA valleys","Sea level to ~2,000 feet",Mediterranean with access to groundwater or irrigation,Not poisonous; needles are small and inedible.
Northern White-cedar,Thuja occidentalis,Cupressaceae,No,No,Rarely,"Used for hedges, canoes, and traditional medicines.",Flat sprays of scalelike leaves with fan shape.,Its branches look like green lace fans!,"Tiny overlapping leaves, red bark, small upright cones.",Western Redcedar (*Thuja plicata*),Narrower sprays and lighter green foliage,Pollen in spring; cones ripen fall of first year,New growth in spring; cones mature late summer.,Evergreen,Scale-like,Opposite,Scale-like,< 0.25 inch,"Flat, overlapping, fragrant scales",None,"Scale-like, in flattened sprays",< 0.25 inch,"Soft, green, aromatic",Tiny yellow pollen cones,Small brown woody cones,"0.5 inch, small and upright",Branch tips,Wind,Aromatic cedar scent,Smooth and reddish,"Reddish-brown, peeling in strips",Flat sprays and fibrous bark,Conical,Narrow pyramid or column,"Dense, horizontal sprays",30–60 feet,Slow to moderate,"Bogs, swamps, and forest edges",Northeastern U.S. and Canada,Low to mid elevations,"Cool, moist soils",Mildly toxic to pets if ingested
Norway Spruce,Picea abies,Pinaceae,Yes,No,Yes,Common Christmas tree; widely used for timber and landscaping.,Drooping branchlets and large hanging cones.,Its branches hang down like sleepy arms!,"Sharp, four-sided needles; large cylindrical cones; graceful drooping form.",Serbian Spruce (*Picea omorika*),Drooping branchlets and larger cones,Pollen in spring; cones mature in fall,New growth in spring; cones ripen late summer.,Evergreen,Simple,Spiral,Needle-like,0.75–1.25 inches,"Glossy, sharp, green",None,Spiraled around twig,0.5–1 inch,"Sharp, stiff, dark green",Small reddish pollen cones,Large hanging cones 4–7 inches,"4–7 inches, long and cylindrical",Hanging from branches,Wind,Sharp resin scent,Smooth and grayish,"Reddish-brown, scaly plates",Drooping twigs and large cones,Symmetrical pyramid,"Tall, graceful with drooping limbs",Whorled with pendulous tips,100–180 feet,Fast,Planted landscapes and parks,Europe; widely cultivated,Low to mid elevations,"Cool, moist, tolerates snow",Non-toxic
Oriental Spruce,Picea orientalis,Pinaceae,Yes,No,Rarely,Dense ornamental spruce with very short needles.,"Short, glossy needles and tight branching.",Its needles are like tiny spruce eyelashes!,"Dark green, shiny needles less than 0.5 inch; short cones.",Black Spruce (*Picea mariana*),"Smaller, darker needles and compact form",Pollen in spring; cones mature by fall,New buds in spring; small cones ripen by late summer.,Evergreen,Simple,Spiral,Needle-like,0.25–0.75 inches,"Short, shiny, dark green",None,Spiraled on twigs,0.25–0.5 inch,"Short, glossy, dark green",Tiny reddish cones,Small cylindrical cones,"2–4 inches, oval",Hanging from upper branches,Wind,Mild spruce aroma,Smooth and reddish-brown,"Flaky, dark brown","Dense, dark green form, small cones",Narrow pyramid,Conical and dense,"Horizontal, layered",50–100 feet,Slow,Parks and gardens,Caucasus and Turkey; cultivated,"3,000–6,000 feet","Cool, humid",Non-toxic
Pacific Bayberry,Morella californica,Myricaceae,Yes,Yes,Unlikely,Traditionally used by indigenous peoples for medicinal purposes and as insect repellent,"Dense, evergreen foliage with shiny, leathery leaves",Leaves smell spicy or peppery when crushed,Aromatic leaves; dense shrub or small tree form,"Wax Myrtle (Morella cerifera), but Pacific Bayberry has glossier leaves and is typically found in California",Common Douglas-fir cones are typically 2–4 inches. Bigcone Douglas-fir cones can reach 8 inches with prominent bracts.,Flowers appear in early spring; small berries mature by autumn,"Maintains green leaves year-round, berries ripen in fall and persist through winter",Evergreen,Simple,Alternate,Lanceolate to oblanceolate,1-4 inches,"Glossy, dark green on top, lighter underneath, leathery texture",Remains dark green year-round,N/A,N/A,N/A,"Small, inconspicuous, greenish-yellow flowers in clusters","Small, waxy, purplish to black berries",N/A,N/A,Birds and wildlife consume berries and disperse seeds,Leaves have a spicy or peppery scent when crushed,"Smooth, gray-brown","Rougher texture, gray-brown to darker shades with age","Persistent evergreen leaves, berries present in winter","Shrub-like, dense, rounded",Dense shrub or small rounded tree,"Dense, irregular branching, forming a rounded canopy","Typically 6-15 feet, occasionally reaching 20+ feet",Moderate,"Coastal areas, moist or dry soils, adaptable to different conditions","Coastal regions of California, especially northern and central coast","Sea level to about 1,500 feet","Tolerant of coastal climates, prefers temperate regions with moist winters and dry summers",Not usually toxic; resin or needles might irritate stomach if eaten.
Pacific Dogwood,Cornus nuttallif,Dogwood,Yes,Yes,Unlikely,Ornamental and pollinator-friendly; showy bracts revered by gardeners,Large white bracts that look like giant petals in spring,"It has big white “petals,” but they’re actually special leaves called bracts!","Opposite leaves, layered branching, clusters of red berries","Flowering Dogwood (Cornus florida), though Pacific Dogwood can be taller with bigger bracts","London Plane is a hybrid with smaller, more uniform leaves. California Sycamore’s bark peels in bigger patches.",Main bloom in spring; sometimes second bloom in fall; berries ripen late spring/summer,Leaves turn yellow to red or purple in fall,Deciduous,Simple,Opposite,Elliptic/ovate with curved veins,3–5 inches,"Smooth, somewhat glossy, noticeable venation","Yellow, red, or purple",N/A,N/A,N/A,Small greenish flower cluster with 4–6 large white bracts,Clusters of bright red berry-like drupes,N/A,N/A,Birds eat the red berries,Flowers have a faint sweetish fragrance,"Smooth, greenish to light brown","Grayish brown, can develop small scales","Leafless, opposite branching, flower buds often visible","Narrow, sometimes pyramidal",More rounded or layered branching,"Opposite, forming tiers",15–40 feet,Moderate,"Moist woodland edges, partial shade","Western North America, coastal & foothill regions of CA","Up to ~5,000 feet","Mild, wet winters, moderate summers","Generally safe, though fine leaf hairs can irritate skin or lungs if heavily inhaled."
Pacific Madrone,Arbutus menziesii,Heath,Yes,Yes,Unlikely,"Native peoples ate the berries, used bark for medicinal tea","Smooth, peeling reddish bark, glossy evergreen leaves, red berries",Look for the ‘peeling paint’ bark and shiny leaves!,"Exfoliating bark revealing green/orange, white urn-shaped flowers, red berries","Manzanita (Arctostaphylos), but madrone is typically taller with bigger trunk","Pacific Yew has softer needles and smaller red arils. Torreya needles are stiffer, and seeds are bigger, olive-like drupes.","Flowers in spring, red-orange berries form late summer to fall","Evergreen, older leaves may turn yellow and drop in summer",Evergreen broadleaf,Simple,Alternate,"Oval, thick, leathery",3–6 inches,"Dark glossy green above, pale beneath",Evergreen,N/A,N/A,N/A,"Clusters of small, white bell-shaped (urn-shaped) flowers in spring",Round orange-red berries ~0.3 inch wide,N/A,N/A,Birds and mammals eat the berries,Flowers mildly sweet; bark earthy,"Smooth, thin red outer layer over greenish under-bark","Peels in thin sheets, revealing patches of green/orange/brown","Evergreen leaves, red peeling bark, possible berries","Upright, somewhat open crown","Irregular trunk, broad crown, twisting limbs","Spreading, contorted",20–80 feet,Moderate,"Well-drained slopes, forest edges, chaparral transition",Pacific Coast from BC to California,"Sea level to ~4,000 feet","Mediterranean climate, mild wet winters, dry summers",Foliage and seeds contain strong toxins; sometimes called ‘Stinking Cedar.’
Pacific Silver Fir,Abies amabilis,Pine,Yes,Yes,Unlikely,"Important high-elevation fir in Pacific Northwest, extending into Northern CA.","Shiny, dark green needles with silvery undersides; upright purple cones.",Look for the silvery stripes under the needles and pretty purple cones on top.,"Needles arranged in two distinct rows on each side of twig, silvery underside; smooth bark with resin blisters when young.","Subalpine fir (Abies lasiocarpa), but Pacific Silver Fir usually has darker needles and is found in more coastal/montane habitats.","Bald Cypress is also a deciduous conifer, but Dawn Redwood has opposite needle arrangement and a more pronounced trunk flare.","New growth in late spring; purple cones mature late summer–fall, disintegrate on the tree.",Evergreen; minimal color change year-round.,Evergreen needles.,N/A,"Needles mostly in flattened sprays, parted on sides of twig.","Flattened needle, ~1 inch.",1–1.5 inches.,"Dark green above, two broad silver-white bands below.",Evergreen.,2-ranked or slightly upswept on twig.,1–1.5 inches.,"Soft, not sharply pointed.","Male cones small, reddish; female cones upright, purplish.",Cylindrical purple cones (3–6 inches) upright on top branches.,"3–6 inches, cylinder, purplish scales.",Upright on upper branches.,Wind (cones break apart).,"Mild fir scent, slightly sweet.","Smooth, gray, with resin blisters.","Scaly or fissured, often with patches of lichens.","Evergreen needles with silver undersides, possible cone bracts.","Conical, symmetrical.","Tall, narrow crown, drooping lower branches sometimes.","Horizontal to slightly drooping, layered.",80–130 feet (sometimes taller).,Slow to moderate.,"Moist montane forests, often with high rainfall.","NW California, coastal mountains, extends north into PNW.","~3,000–6,000+ feet.","Cool, wet, maritime-influenced climate.",Not known to be toxic; rarely browsed by wildlife.
Pacific Silver Fir,Abies amabilis,Pinaceae,Yes,Yes,Rarely,Native coastal fir with soft needles and layered branches.,Flat needles with white undersides and gentle layered branches.,Its needles look like a green-white sandwich!,"Flat, blunt needles; two white lines beneath; symmetrical, tiered shape.",Grand Fir (*Abies grandis*),More silvery underside and flattened needles,Pollen in spring; cones mature in fall,New shoots in spring; cones develop high in tree.,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,"Flat, shiny, white-striped below",None,"Two-ranked, flat sprays",1–1.5 inches,"Soft, dark green above, white-striped below",Small yellow cones,Cylindrical cones with resin,"3–6 inches, upright",Top branches,Wind,"Fragrant, citrusy",Smooth with resin blisters,"Rough, grayish-brown",Flat needles with silver underside,"Narrow, pyramidal",Tall with layered crown,Horizontal tiers,100–200 feet,Moderate,Moist coastal forests,Pacific Northwest and Northern California,"2,000–5,000 feet","Cool, foggy, high-moisture",Non-toxic
Pacific Yew,Taxus brevifolia,Taxaceae (Yew),Yes,Yes,Unlikely,Source of the anti-cancer drug paclitaxel (Taxol); historically used by tribes for bows and tools.,"Small evergreen conifer with short, flat needles, distinctive red berry-like arils instead of typical cones.","A 'yew' is like a small Christmas tree with soft needles and red berries, but don't eat the berries—they're toxic!","Dark green needles arranged spirally but flattened in appearance, bark often purplish-brown, red aril covering seed.","Ornamental yews (Taxus x media), but this is native to coastal and mountainous CA.",Wingleaf Soapberry has a more pronounced “wing” on the leaf stalks. Western Soapberry does not.,Evergreen; pollination in early spring; red arils develop late summer/fall.,"Needles remain year-round, some older needles may drop intermittently.",Evergreen needles,N/A,Spiral but typically flattened in 2 ranks,"Linear, ~0.5–1 inch",0.5–1 inch,"Soft, dark green above, paler underside, short petiole",Evergreen,"Appears 2-ranked, though actually spiral",0.5–1 inch,"Soft to touch, pointed but not sharp","Male cones small, spherical, female cones reduced to a single ovule","Red, fleshy aril (berry-like) covering single seed",N/A (aril instead of woody cone),Arils on underside of branches,"Birds eat arils, disperse seeds","Mild, somewhat resinous","Thin, purplish-brown, smooth","Scaly, may peel in small flakes, revealing reddish layers","Evergreen needles, possible red arils, slender trunk","Shrubby, shade-tolerant under larger conifers","Small to medium tree, trunk can be twisted","Often irregular, branches droop slightly",10–50 feet,Slow,"Moist coniferous forests, shady understory","NW California to Oregon, into Sierra in shady canyons","~1,000–4,000+ feet (varies)","Cool, moist forest conditions",Berries contain saponins and are not for eating; can irritate stomach.
Paper Birch,Betula papyrifera,Betulaceae,No,No,Rarely,Traditional birch for canoes and scrolls; beautiful bark.,Bright white bark that peels in wide sheets.,Its bark peels like paper towels!,"White bark, triangular leaves with double serration.",Gray Birch (*Betula populifolia*),Peeling white bark and broader leaves,Catkins in spring; seeds ripen in summer,Yellow fall color; catkins in spring.,Deciduous,Simple,Alternate,Oval to triangular,2–4 inches,"Papery, double-toothed",Bright yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender reddish catkins,Tiny winged nutlets,Slender catkins,At twig tips,Wind,Neutral to faintly sweet,"Brown or reddish, turning white","Bright white, peels in sheets",White bark and horizontal lenticels,Upright,"Broad, open crown",Alternate,40–70 feet,Fast,Cool forests and clearings,Northern U.S. and Canada,Low to mid elevations,"Cold winters, moist soil",Non-toxic
Paperbark Maple,Acer griseum,Sapindaceae,Yes,No,Yes,Rare ornamental maple prized for exfoliating bark.,Coppery bark that peels in thin curls.,Its bark peels like cinnamon sticks!,"Small trifoliate leaves, cinnamon bark, red fall color.",Amur Maple (*Acer ginnala*),Peeling cinnamon bark and trifoliate leaves,Flowers in spring; samaras in late summer,Fiery red-orange fall foliage.,Deciduous,Compound,Opposite,Trifoliate,1–3 inches,"Soft, hairy, compound with 3 leaflets",Red to orange,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small yellow-green clusters,Small paired samaras,Double-winged samaras,Hanging in pairs,Wind,Sweet and woody,Smooth and coppery,"Peeling, papery cinnamon bark",Peeling cinnamon bark and opposite buds,Upright,"Rounded, open form",Opposite,20–35 feet,Slow,Gardens and parks,China; cultivated globally,Low elevations,"Cool summers, moist soils",Non-toxic
Port Orford-cedar,Chamaecyparis lawsoniana,Cupressaceae,Yes,Yes,Yes,Valued for durable wood and ornamental use; native to Northern California and Oregon.,Lacy blue-green foliage and drooping branch tips.,Its leaves look like green feathers and smell lemony!,"Flat sprays of scale-like leaves, drooping twigs, and small round cones.",Incense-cedar (*Calocedrus decurrens*),More bluish foliage and upright growth,Pollen in spring; cones mature in fall,New growth in spring; cones mature in fall.,Evergreen,Scale-like,Opposite,Scale-like,< 0.25 inch,"Flat sprays, bluish scales",None,Scale-like in flattened sprays,< 0.25 inch,"Blue-green, aromatic, flat sprays",Tiny yellow pollen cones,Small rounded woody cones,"0.25–0.5 inch, round",Branch tips,Wind,Sweet cedar scent,Smooth and gray,Reddish-brown and fibrous,Bluish flat sprays and small cones,Narrow conical,Tall spire with drooping tips,"Drooping, layered sprays",100–200 feet,Moderate,Moist mountain slopes and canyons,Northern California and Oregon,"Sea level to 6,000 feet","Cool, moist, foggy areas",Non-toxic
